Company ID,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
1,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
2,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1800
3,ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152
4,ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373
5,ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,"Santa Monica, California",8/31/15,718877
6,AYI,Acuity Brands Inc,reports,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",5/3/16,1144215
7,ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",5/5/97,796343
8,AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/15,1158449
9,AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",,874761
10,AET,Aetna Inc,reports,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/76,1122304
11,AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/14,1004434
12,AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",,4977
13,A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",,1090872
14,APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969
15,AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",7/12/07,1086222
16,ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",5/13/16,766421
17,ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/16,915913
18,ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/12,899866
19,ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",12/2/13,1579241
20,AGN,"Allergan, Plc",reports,Health Care,Pharmaceuticals,"Dublin, Ireland",,884629
21,ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,1101215
22,LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541
23,ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051
24,GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,"Mountain View, California",4/3/14,1652044
25,GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,"Mountain View, California",,1652044
26,MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
27,AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724
28,AEE,Ameren Corp,reports,Utilities,MultiUtilities,"St. Louis, Missouri",9/19/91,1002910
29,AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201
30,AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904
31,AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",6/30/76,4962
32,AIG,"American International Group, Inc.",reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/80,5272
33,AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507
34,AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/16,1410636
35,AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",,820027
36,ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",,1140859
37,AME,AMETEK Inc,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868
38,AMGN,Amgen Inc,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154
39,APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313
40,APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",,773910
41,ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",,6281
42,ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",,1156039
43,AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",,315293
44,APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,6769
45,AIV,Apartment Investment & Mgmt,reports,Real Estate,REITs,"Denver, Colorado",,922864
46,AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",11/30/82,320193
47,AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",,6951
48,ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/81,7084
49,ARNC,Arconic Inc,reports,Industrials,Aerospace & Defense,"New York, New York",3/31/64,4281
50,AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/16,354190
51,AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,"New York, New York",4/10/07,1267238
52,T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",11/30/83,732717
53,ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",12/1/89,769397
54,ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/81,8670
55,AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",,350698
56,AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",,866787
57,AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/07,915912
58,AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",12/31/87,8818
59,BHI,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,808362
60,BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389
61,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",6/30/76,70858
62,BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment,"Murray Hill, New Jersey",6/30/75,9892
63,BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456
64,BBT,BB&T Corporation,reports,Financials,Banks,"Winston-Salem, North Carolina",,92230
65,BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795
66,BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,"Union, New Jersey",,886158
67,BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983
68,BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",,764478
69,BIIB,BIOGEN IDEC Inc.,reports,Health Care,Biotechnology,"Weston, Massachusetts",,875045
70,BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/11,1364742
71,HRB,Block H&R,reports,Financials,Consumer Finance,"Kansas City, Missouri",11/30/86,12659
72,BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927
73,BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255
74,BXP,Boston Properties,reports,Real Estate,REITs,"Boston, Massachusetts",,1037540
75,BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",,885725
76,BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",,14272
77,AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",5/8/14,1441634
78,BF.B,Brown-Forman Corporation,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693
79,CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",,1043277
80,CA,"CA, Inc.",reports,Information Technology,Systems Software,"Islandia, New York",7/31/87,356028
81,COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470
82,CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732
83,COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",,927628
84,CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",,721371
85,KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,1170010
86,CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",,815097
87,CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",,18230
88,CBG,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",,1138118
89,CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",9/1/94,813828
90,CELG,Celgene Corp.,reports,Health Care,Biotechnology,"Summit, New Jersey",,816284
